zona,centro,puntos
430602-INDAUTXU,014117 - CEIP Indautxuko Eskola HLHI,max
430601-ABANDO,014117 - CEIP Indautxuko Eskola HLHI,min
430701-AMETZOLA - IRALABARRI,014130 - CEIP Maestra Isabel Gallego Gorria HLHI,max
430701-AMETZOLA - IRALABARRI,014150 - CEIP Tomás Camacho HLHI,max
430702-ERREKALDEBERRI,014130 - CEIP Maestra Isabel Gallego Gorria HLHI,min
430702-ERREKALDEBERRI,014150 - CEIP Tomás Camacho HLHI,min
430702-ERREKALDEBERRI,014115 - CEIP Elejabarri HLHI,max
430702-ERREKALDEBERRI,014119 - CEIP Gabriel Aresti HLHI,max
430702-ERREKALDEBERRI,014123 - CEIP Ing. Jose Orbegozo Gorostidi HLHI,max
430701-AMETZOLA - IRALABARRI,014115 - CEIP Elejabarri HLHI,min
430701-AMETZOLA - IRALABARRI,014119 - CEIP Gabriel Aresti HLHI,min
430701-AMETZOLA - IRALABARRI,014123 - CEIP Ing. Jose Orbegozo Gorostidi HLHI,min
430801-BASURTU,014108 - CEIP Basurto HLHI,max
430802-ZORROTZA,014108 - CEIP Basurto HLHI,min
430803-ALONSOTEGI,014108 - CEIP Basurto HLHI,min
430802-ZORROTZA,015055 - CEIP Siete Campas-Zorrozgoiti HLHI,max
430802-ZORROTZA,014159 - CEIP Zorrotza-Fray Juan De Zorroza HLH,max
430801-BASURTU,015055 - CEIP Siete Campas-Zorrozgoiti HLHI,min
430803-ALONSOTEGI,015055 - CEIP Siete Campas-Zorrozgoiti HLHI,min
430801-BASURTU,014159 - CEIP Zorrotza-Fray Juan De Zorroza HLH,min
430803-ALONSOTEGI,014159 - CEIP Zorrotza-Fray Juan De Zorroza HLH,min
439901-IT DEUSTU,014658 - CPEIPS La Salle Bilbao HLBHIP,max
439901-IT DEUSTU,014663 - CPEIPS Madre De Dios HLBHIP,max
439901-IT DEUSTU,015845 - CPEIPS Salesianos Deusto HLBHIP,max
439902-IT URIBARRI,014658 - CPEIPS La Salle Bilbao HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014658 - CPEIPS La Salle Bilbao HLBHIP,min
439905-IT IBAIONDO,014658 - CPEIPS La Salle Bilbao HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014658 - CPEIPS La Salle Bilbao HLBHIP,min
439902-IT URIBARRI,014663 - CPEIPS Madre De Dios HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,014663 - CPEIPS Madre De Dios HLBHIP,min
439905-IT IBAIONDO,014663 - CPEIPS Madre De Dios HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,014663 - CPEIPS Madre De Dios HLBHIP,min
439902-IT URIBARRI,015845 - CPEIPS Salesianos Deusto HLBHIP,min
439903-IT OTXARKOAGA-TXURDINAGA-BEGOÑA,015845 - CPEIPS Salesianos Deusto HLBHIP,min
439905-IT IBAIONDO,015845 - CPEIPS Salesianos Deusto HLBHIP,min
439906-IT ABANDO-ERREKALDE-BASURTU-ZORROTZA,015845 - CPEIPS Salesianos Deusto HLBHIP,min
439902-IT URIBARRI,014505 - CPEIPS Artxandape Ikastola HLBHIP,max
439902-IT URIBARRI,014637 - CPEIPS El Ave María HLBHIP,max
439902-IT URIBARRI,014641 - CPEIPS Esclavas Sc - Fátima HLBHIP,max
439902-IT URIBARRI,014655 - CPEIPS Jesús María HLBHIP,max
439902-IT URIBARRI,014657 - CPEIPS La Inmaculada-Hijas De Jesús HLBHIP,max
439902-IT URIBARRI,014698 - CPEIPS San Pedro Apostol HLBHIP,max
439902-IT URIBARRI,014709 - CPEIPS Trueba De Artxanda HLBHIP,max
439901-IT DEUSTU,014505 - CPEIPS Artxandape Ikastola HLBHIP,min
