EAEKOD_COD,Izena_Nomb,Zentro_mot,Info_gehia,Info_geh_1
014613,CPEIPS ALEMÁN SAN BONIFACIO HLBHIP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014613,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014613
015505,EIPR BBK REKALDEBERRI HEPR,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015505,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015505
014624,CPEPA ATENEA HHIP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014624,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014624
014123,CEIP ING. JOSE ORBEGOZO GOROSTIDI HLHI,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014123,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014123
014980,CAEM LOROÑO OMIB,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014980,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014980
015504,EIPR BBK SANTUTXU HEPR,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015504,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015504
014159,CEIP ZORROTZA-FRAY JUAN DE ZORROZA HLHI,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014159,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014159
014678,CPEIPS NTRA. SRA. DEL PILAR HLBHIP,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=014678,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=014678
015099,CEIP MUGICA-SOLOKOETXE HLHI,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015099,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015099
015050,EMPR BEDMAR MEPR,Ikastetxea / Centro escolar,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=e&centro=015050,http://desaunix01.hezkuntza.jakina/e23/e23ListadosDifusion/e23EspecialidadesModelos/e23EspecialidadesModelosGIS.jsp?idioma=c&centro=015050
